 Name of the problem: kdd con lambda = 10/N
 Number of variables:   2014670  
 Number of observations:   510302  
-------------------------------------- 
 Iter            f          ||g||     dif_f       alpha      s*y      nnz 
  70   3.271656637e-01   4.160e-03   1.61e-03   1.00e+00  2.199e-03   5733 
  71   3.267259354e-01   3.045e-03   1.34e-03   1.00e+00  1.365e-03   5753 
  72   3.263034051e-01   2.682e-03   1.29e-03   1.00e+00  1.031e-03   5708 
  73   3.259471656e-01   2.104e-03   1.09e-03   1.00e+00  1.392e-03   5603 
  74   3.255316419e-01   3.387e-03   1.27e-03   1.00e+00  2.008e-03   5538 
  75   3.251510083e-01   3.377e-03   1.17e-03   1.00e+00  2.139e-03   5503 
  76   3.246630725e-01   3.823e-03   1.50e-03   1.00e+00  1.471e-03   5467 
  77   3.243520777e-01   2.114e-03   9.58e-04   1.00e+00  1.113e-03   5461 
  78   3.239979142e-01   2.809e-03   1.09e-03   1.00e+00  1.250e-03   5428 
  79   3.237428867e-01   2.520e-03   7.87e-04   1.00e+00  1.512e-03   5364 
  80   3.233622689e-01   3.295e-03   1.18e-03   1.00e+00  1.383e-03   5346 
  81   3.231163975e-01   2.253e-03   7.60e-04   1.00e+00  1.104e-03   5337 
  82   3.228090013e-01   2.701e-03   9.51e-04   1.00e+00  1.137e-03   5343 
  83   3.225812848e-01   2.252e-03   7.05e-04   1.00e+00  1.226e-03   5313 
  84   3.222874324e-01   2.985e-03   9.11e-04   1.00e+00  1.323e-03   5275 
  85   3.221034697e-01   2.486e-03   5.71e-04   1.00e+00  1.441e-03   5254 
  86   3.217654409e-01   3.304e-03   1.05e-03   1.00e+00  1.255e-03   5219 
  87   3.216165058e-01   2.066e-03   4.63e-04   1.00e+00  1.217e-03   5215 
  88   3.213097063e-01   3.234e-03   9.54e-04   1.00e+00  1.158e-03   5188 
  89   3.211784981e-01   1.916e-03   4.08e-04   1.00e+00  1.121e-03   5154 
  90   3.208871486e-01   3.215e-03   9.07e-04   1.00e+00  1.139e-03   5144 
