 Name of the problem: Santander con lambda = 10/N
 Number of variables:    370  
 Number of observations:   76020 
 Online, b = 1% N
-------------------------------------- 
 Iter        f              ||g||     dif_f      alpha     s*y 
   0     1.952873414e+00   1.993e-01          
 Warning, small sTy < eps   4.48e-20 
  75   2.052164262e-01   2.220e-02   2.57e-02   1.19e-01  3.830e-04  
  76   1.761187903e-01   2.198e-02   2.91e-02   1.17e-01  3.580e-04  
  77   1.920467638e-01   1.551e-02   1.59e-02   1.16e-01  1.616e-04  
  78   1.302991384e-01   2.550e-02   6.17e-02   1.15e-01  2.196e-04  
  79   2.083005060e-01   1.178e-02   7.80e-02   1.13e-01  6.175e-05  
  80   1.794466382e-01   1.080e-02   2.89e-02   1.12e-01  9.787e-04  
  81   2.102238215e-01   1.923e-02   3.08e-02   1.11e-01  2.611e-04  
  82   2.466953355e-01   2.393e-02   3.65e-02   1.10e-01  1.768e-03  
  83   1.868429942e-01   2.506e-02   5.99e-02   1.08e-01  3.012e-04  
  84   2.268594427e-01   2.028e-02   4.00e-02   1.07e-01  2.007e-04  
  85   5.434350407e-01   2.549e-02   3.17e-01   1.06e-01  5.460e-03  
  86   1.752333351e-01   2.899e-01   3.68e-01   1.05e-01  7.950e-05  
  87   2.168679791e-01   2.208e-02   4.16e-02   1.04e-01  2.576e-03  
  88   1.927991657e-01   2.863e-02   2.41e-02   1.03e-01  1.847e-04  
  89   1.762259117e-01   4.018e-02   1.66e-02   1.02e-01  1.293e-03  
  90   2.184602672e-01   1.981e-02   4.22e-02   1.01e-01  2.822e-03  
  91   2.162697481e-01   4.154e-02   2.19e-03   9.97e-02  1.108e-03  
  92   2.009736747e-01   3.434e-02   1.53e-02   9.88e-02  1.182e-04  
  93   4.789643823e-01   1.421e-02   2.78e-01   9.78e-02  6.729e-03  
  94   2.297375632e-01   2.246e-01   2.49e-01   9.68e-02  7.660e-04  
  95   2.004281270e-01   3.490e-02   2.93e-02   9.59e-02  4.323e-04  
  96   1.704912092e-01   1.844e-02   2.99e-02   9.50e-02  1.382e-02  
  97   1.986567715e-01   2.767e-01   2.82e-02   9.41e-02  8.303e-05  
  98   1.862839560e-01   1.980e-02   1.24e-02   9.32e-02  6.564e-05  
  99   2.081048172e-01   4.075e-02   2.18e-02   9.23e-02  2.132e-04  
 100   2.166497505e-01   2.712e-02   8.54e-03   9.15e-02  6.166e-03  
 101   2.094654601e-01   5.633e-02   7.18e-03   9.07e-02  2.855e-03  
 102   2.244460263e-01   4.252e-02   1.50e-02   8.99e-02  4.844e-05  
 103   2.093256982e-01   2.688e-02   1.51e-02   8.91e-02  3.870e-05  
 104   1.653860719e-01   1.123e-02   4.39e-02   8.83e-02  3.567e-05  
 105   2.240330438e-01   1.104e-02   5.86e-02   8.75e-02  1.646e-04  
 106   3.749256024e-01   1.779e-02   1.51e-01   8.67e-02  9.425e-04  
 107   1.692511901e-01   2.246e-01   2.06e-01   8.60e-02  8.234e-03  
 108   1.681826173e-01   7.085e-02   1.07e-03   8.52e-02  4.301e-04  
 109   2.378198275e-01   1.316e-02   6.96e-02   8.45e-02  4.991e-03  
 110   1.606128527e-01   3.461e-02   7.72e-02   8.38e-02  1.600e-03  
 111   2.299876937e-01   1.700e-02   6.94e-02   8.31e-02  2.865e-03  
 112   2.777649149e-01   2.706e-02   4.78e-02   8.24e-02  2.319e-04  
 113   2.080489099e-01   9.648e-02   6.97e-02   8.18e-02  2.307e-04  
 114   2.076744742e-01   2.050e-02   3.74e-04   8.11e-02  2.839e-04  
 115   1.732645214e-01   3.098e-02   3.44e-02   8.04e-02  2.698e-04  
 116   2.289426402e-01   8.956e-03   5.57e-02   7.98e-02  2.184e-04  
 117   3.207599376e-01   2.255e-02   9.18e-02   7.92e-02  5.710e-04  
 118   2.723853509e-01   1.454e-01   4.84e-02   7.85e-02  1.445e-03  
 119   2.200105943e-01   3.479e-02   5.24e-02   7.79e-02  3.870e-04  
 120   1.957574240e-01   1.712e-02   2.43e-02   7.73e-02  6.806e-05  
 121   1.477325657e-01   1.093e-02   4.80e-02   7.67e-02  2.973e-04  
 122   1.849881870e-01   2.407e-02   3.73e-02   7.61e-02  1.232e-03  
 123   2.249502637e-01   1.355e-02   4.00e-02   7.56e-02  2.489e-04  
 124   1.845149737e-01   1.872e-02   4.04e-02   7.50e-02  3.707e-04  
 125   2.254245451e-01   4.552e-02   4.09e-02   7.44e-02  4.580e-05  
 126   5.863243979e-01   1.487e-02   3.61e-01   7.39e-02  4.720e-05  
 127   2.046830145e-01   2.906e-01   3.82e-01   7.33e-02  1.035e-02  
 128   1.533283861e-01   6.294e-02   5.14e-02   7.28e-02  7.105e-03  
 129   1.818858994e-01   5.776e-02   2.86e-02   7.23e-02  6.268e-05  
 130   2.628191535e-01   4.525e-02   8.09e-02   7.18e-02  5.971e-04  
 131   1.976154553e-01   2.456e-02   6.52e-02   7.12e-02  1.487e-04  
 132   1.718209906e-01   1.324e-02   2.58e-02   7.07e-02  1.252e-05  
 133   2.285798351e-01   7.898e-03   5.68e-02   7.02e-02  8.304e-05  
 134   2.061855127e-01   1.508e-02   2.24e-02   6.97e-02  8.393e-05  
 135   2.363065297e-01   1.599e-02   3.01e-02   6.93e-02  4.175e-04  
 136   2.180873264e-01   1.635e-02   1.82e-02   6.88e-02  2.469e-04  
 137   3.640710877e-01   1.858e-02   1.46e-01   6.83e-02  1.285e-03  
 138   1.847564849e-01   2.774e-02   1.79e-01   6.78e-02  3.585e-05  
 139   1.736195751e-01   1.850e-02   1.11e-02   6.74e-02  5.603e-05  
 140   2.196775185e-01   1.630e-02   4.61e-02   6.69e-02  1.361e-04  
 141   2.650679903e-01   1.558e-02   4.54e-02   6.65e-02  2.275e-03  
 142   2.450678717e-01   2.738e-02   2.00e-02   6.61e-02  5.417e-01  
 143   1.803751856e-01   2.055e-01   6.47e-02   6.56e-02  6.147e-03  
 144   2.191243026e-01   3.425e-02   3.87e-02   6.52e-02  4.322e-05  
 145   3.132085344e-01   3.455e-02   9.41e-02   6.48e-02  4.196e-02  
 146   2.277456721e-01   3.526e-02   8.55e-02   6.43e-02  2.348e-03  
 147   4.093530558e-01   1.006e-01   1.82e-01   6.39e-02  7.496e-04  
 148   2.276924298e-01   2.770e-02   1.82e-01   6.35e-02  4.067e-05  
 149   1.711220063e-01   1.579e-02   5.66e-02   6.31e-02  5.228e-04  
 150   1.965823845e-01   2.840e-02   2.55e-02   6.27e-02  9.597e-05  
 151   1.819600821e-01   1.628e-02   1.46e-02   6.23e-02  6.464e-05  
 152   2.383830650e-01   2.145e-02   5.64e-02   6.19e-02  4.611e-04  
 153   2.619030307e-01   1.756e-02   2.35e-02   6.16e-02  1.744e-04  
 154   1.693016508e-01   8.888e-02   9.26e-02   6.12e-02  6.522e-05  
 155   2.175119796e-01   1.327e-02   4.82e-02   6.08e-02  2.265e-02  
 156   1.986483719e-01   2.746e-02   1.89e-02   6.04e-02  4.846e-04  
 157   1.979051321e-01   3.394e-02   7.43e-04   6.01e-02  1.765e+00  
 158   1.845794620e-01   7.255e-02   1.33e-02   5.97e-02  3.754e-03  
 159   1.703784780e+00   3.476e-02   1.52e+00   5.94e-02       NaN  
 Warning, small sTy < eps   0.00e+00 
 160   3.355234332e-01        NaN   1.37e+00   5.90e-02  0.000e+00  
 Warning, small sTy < eps   0.00e+00 
