 Name of the problem: Santander con lambda = 10/N
 Number of variables:    370  
 Number of observations:   76020  
-------------------------------------- 
 Iter        f              ||g||     dif_f       alpha     s*y 
  76   1.550173650e-01   9.223e-04   8.12e-04   2.00e-01  5.066e-05  
  77   1.548511921e-01   1.049e-03   1.07e-03   2.00e-01  1.428e-04  
  78   1.546763344e-01   1.451e-03   1.13e-03   2.00e-01  3.666e-04  
  79   1.545710741e-01   1.745e-03   6.81e-04   2.00e-01  5.186e-04  
  80   1.544448442e-01   1.730e-03   8.17e-04   2.00e-01  7.144e-04  
  81   1.543147527e-01   1.946e-03   8.42e-04   2.00e-01  4.383e-04  
  82   1.542551423e-01   1.256e-03   3.86e-04   2.00e-01  3.712e-04  
  83   1.541692779e-01   1.894e-03   5.57e-04   2.00e-01  1.554e-04  
  84   1.541232424e-01   1.155e-03   2.99e-04   2.00e-01  7.150e-05  
  85   1.540977985e-01   7.618e-04   1.65e-04   1.00e+00  4.296e-04  
  86   1.539296831e-01   1.931e-03   1.09e-03   1.00e+00  2.504e-04  
  87   1.538127061e-01   1.143e-03   7.60e-04   1.00e+00  1.808e-04  
  88   1.537280406e-01   9.133e-04   5.50e-04   1.00e+00  1.512e-04  
  89   1.536923153e-01   9.142e-04   2.32e-04   2.00e-01  2.393e-05  
  90   1.535565091e-01   6.550e-04   8.84e-04   1.00e+00  1.013e-04  
  91   1.535053007e-01   1.004e-03   3.33e-04   2.00e-01  2.271e-04  
  92   1.534379912e-01   1.452e-03   4.38e-04   2.00e-01  2.296e-04  
  93   1.533885847e-01   1.215e-03   3.22e-04   2.00e-01  1.182e-04  
  94   1.533505348e-01   1.076e-03   2.48e-04   2.00e-01  8.989e-05  
  95   1.533116468e-01   1.020e-03   2.54e-04   2.00e-01  1.008e-04  
  96   1.532729811e-01   1.109e-03   2.52e-04   2.00e-01  9.996e-05  
  97   1.532337398e-01   9.902e-04   2.56e-04   2.00e-01  8.991e-05  
  98   1.531946233e-01   1.030e-03   2.55e-04   2.00e-01  8.206e-05  
  99   1.531546673e-01   9.250e-04   2.61e-04   2.00e-01  8.980e-05  
 100   1.531228160e-01   9.687e-04   2.08e-04   2.00e-01  1.037e-04  
 101   1.530848641e-01   1.014e-03   2.48e-04   2.00e-01  7.901e-05  
 102   1.530527387e-01   8.092e-04   2.10e-04   2.00e-01  6.767e-05  
 103   1.530096870e-01   7.922e-04   2.81e-04   2.00e-01  6.833e-05  
 104   1.529729388e-01   6.756e-04   2.40e-04   2.00e-01  8.223e-05  
 105   1.529312334e-01   8.826e-04   2.73e-04   2.00e-01  1.099e-04  
